alcoholPercentage,assortmentText,bottleText,categoryLevel1,categoryLevel2,categoryLevel3,country,customCategoryTitle,grapes,originLevel1,originLevel2,packagingLevel1,price,producerName,productId,productNameBold,productNameThin,productNumber,productNumberShort,restrictedParcelQuantity,sugarContentGramPer100ml,tasteClockBody,tasteClockCasque,tasteClockFruitacid,tasteClockRoughness,tasteClockSweetness,tasteClocks,vintage,volume,volumeText,full_name
14.5,Ordervaror,Flaska,Vin,Vitt vin,,Frankrike,Vitt vin,['Riesling'],Alsace,Alsace Grand Cru,Glasflaska,369.0,Gustave Lorentz,42058288, Altenberg de Bergheim,Riesling Grand Cru,7345901,73459,0,0.0,0,0,0,0,0,[],2019,750,750 ml,Gustave Lorentz  Altenberg de Bergheim Riesling Grand Cru
13.5,Tillfälligt sortiment,Flaska,Vin,Rött vin,,Italien,Rött vin,[],Toscana,Brunello di Montalcino,Glasflaska,1199.0, Il Paradiso di Manfredi,35306729, Il Paradiso di Manfredi,Brunello di Montalcino,9051101,90511,0,0.0,0,0,0,0,0,[],2016,750,750 ml, Il Paradiso di Manfredi  Il Paradiso di Manfredi Brunello di Montalcino
12.5,Tillfälligt sortiment,Flaska,Vin,Vitt vin,,Chile,Vitt vin,"['Pais', 'Cariñena']",,,Glasflaska,189.0,Garage Wine Co. / Vitivinicola Two Winters Ltda,39778304, Phoenix Ferment,Garage Wine,9482201,94822,0,0.0,0,0,0,0,0,[],2022,750,750 ml,Garage Wine Co. / Vitivinicola Two Winters Ltda  Phoenix Ferment Garage Wine
12.5,Ordervaror,Flaska,Vin,Rött vin,,Italien,Rött vin,[],,,Glasflaska,189.0,Le Ville di Antanè,43343090,.Recioto della Valpolicella DOCG,,7027302,70273,0,0.0,0,0,0,0,0,[],2019,500,500 ml,
13.5,Ordervaror,Flaska,Vin,Rött vin,,Frankrike,Rött vin,['Pinot noir'],Bourgogne,,Glasflaska,571.0,Simon Bize et Fils,39653895,.Savigny-les-Beaune Aux Grands Liards,Simon Bize,5344501,53445,0,0.0,0,0,0,0,0,[],2018,750,750 ml,Simon Bize et Fils .Savigny-les-Beaune Aux Grands Liards Simon Bize
13.5,Ordervaror,Flaska,Vin,Rött vin,,Italien,Rött vin,['Ciliegiolo'],Umbrien,,Glasflaska,239.0,società agricola Leonardo Bussoletti,30176836,05035,Narni Rosso,5866001,58660,0,0.0,0,0,0,0,0,[],2021,750,750 ml,società agricola Leonardo Bussoletti 05035 Narni Rosso
15.0,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,['Monastrell'],Murcia,Jumilla,Glasflaska,228.0,Bodega Asensio Carcelén,9665769,100 x 100,Monastrell,7917701,79177,6,0.0,0,0,0,0,0,[],2018,750,750 ml,Bodega Asensio Carcelén 100 x 100 Monastrell
13.0,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,['Xarel-lo'],Katalonien,Penedès,Glasflaska,181.0,CASTELL D’AGE,24662695,100% Xarel-lo,0% SO2,5452101,54521,0,0.0,0,0,0,0,0,[],2020,750,750 ml,CASTELL D’AGE 100% Xarel-lo 0% SO2
14.5,Ordervaror,Flaska,Vin,Rött vin,,USA,Rött vin,['Zinfandel'],Kalifornien,,Glasflaska,149.0,1000 Stories Vineyards,8432921,1000 Stories,Bourbon Barrel Aged Zinfandel,7482401,74824,0,0.0,0,0,0,0,0,[],2021,750,750 ml,1000 Stories Vineyards 1000 Stories Bourbon Barrel Aged Zinfandel
15.0,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,[],Katalonien,Priorat,Glasflaska,394.0,Hidalgo Albert S.L,1073915,1270,A Vuit Red,7510001,75100,2,0.0,0,0,0,0,0,[],2014,750,750 ml,Hidalgo Albert S.L 1270 A Vuit Red
14.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,[],Katalonien,Priorat,Glasflaska,278.0,Hidalgo Albert S.L,1074100,1270,A Vuit Fina,7529801,75298,2,0.0,0,0,0,0,0,[],2017,750,750 ml,Hidalgo Albert S.L 1270 A Vuit Fina
14.5,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,[],Katalonien,Priorat,Glasflaska,349.0,Celler Hidalgo Albert,24550771,1270 A Vuit Blanc,Hidalgo Albert,8501901,85019,2,0.0,0,0,0,0,0,[],2019,750,750 ml,Celler Hidalgo Albert 1270 A Vuit Blanc Hidalgo Albert
12.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,['Trepat'],Katalonien,Conca de Barberà,Glasflaska,149.0,Carles Andreu,37675871,12@,Carles Andreu,5394601,53946,6,0.0,0,0,0,0,0,[],2022,750,750 ml,Carles Andreu 12@ Carles Andreu
14.5,Ordervaror,Flaska,Vin,Rött vin,,USA,Rött vin,['Cabernet sauvignon'],Washington State,Columbia Valley,Glasflaska,179.0,14 Hands Winery,1172208,14 Hands,Cabernet Sauvignon,7136401,71364,0,0.7,0,0,0,0,0,[],2020,750,750 ml,14 Hands Winery 14 Hands Cabernet Sauvignon
13.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Italien,"Rött vin, Fruktigt & Smakrikt",['Barbera'],Piemonte,,Glasflaska,109.0,Schenk Italia Spa,24622853,150+1 Barbera,Piemonte,5291501,52915,0,0.6,7,4,10,7,0,"[{'key': 'TasteClockBody', 'value': 7}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 10}]",2022,750,750 ml,Schenk Italia Spa 150+1 Barbera Piemonte
13.0,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,['Albariño'],Galicien,Rías Baixas,Glasflaska,375.0,Bodegas del Palacio de Fefiñanes,24577248,1583,Albariño de Fefiñanes,5106101,51061,6,0.0,0,0,0,0,0,[],2022,750,750 ml,Bodegas del Palacio de Fefiñanes 1583 Albariño de Fefiñanes
13.5,Tillfälligt sortiment,Flaska,Vin,Vitt vin,Friskt & Fruktigt,Spanien,"Vitt vin, Friskt & Fruktigt",['Albariño'],Galicien,Rías Baixas,Glasflaska,241.0,Bodegas del Palacio de Fefiñanes,16731147,1583 Albariño de Fefiñanes,,9010301,90103,0,0.0,5,4,10,0,1,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 10}]",2022,750,750 ml,
14.5,Ordervaror,Flaska,Vin,Rött vin,,Chile,Rött vin,[],,,Glasflaska,179.0,Mondowine AB,24658983,1865,Carmenère,5432301,54323,0,0.0,0,0,0,0,0,[],2019,750,750 ml,Mondowine AB 1865 Carmenère
13.5,Ordervaror,Flaska,Vin,Vitt vin,,Chile,Vitt vin,[],,,Glasflaska,179.0,Viña San Pedro Tarapacá S.A.,33628167,1865,Chardonnay,5146301,51463,0,0.0,0,0,0,0,0,[],2021,750,750 ml,Viña San Pedro Tarapacá S.A. 1865 Chardonnay
14.0,Ordervaror,Flaska,Vin,Rött vin,,Chile,Rött vin,['Cabernet sauvignon'],Valle Central,Maipo,Glasflaska,179.0,Viña San Pedro,296150,1865,Cabernet Sauvignon,1667201,16672,0,0.0,0,0,0,0,0,[],2021,750,750 ml,Viña San Pedro 1865 Cabernet Sauvignon
13.5,Ordervaror,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Australien,"Rött vin, Fruktigt & Smakrikt",[],South Eastern Australia,,Glasflaska,139.0,19 Crimes,13955353,19 Crimes,The Banished Dark Red,7002101,70021,0,1.3,8,8,8,7,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 8}]",2020,750,750 ml,19 Crimes 19 Crimes The Banished Dark Red
13.0,Ordervaror,Flaska,Vin,Vitt vin,,Australien,Vitt vin,[],South Eastern Australia,,Glasflaska,99.0,19 Crimes,13955361,19 Crimes,Chard,7205401,72054,0,0.0,0,0,0,0,0,[],2021,750,750 ml,19 Crimes 19 Crimes Chard
14.5,Ordervaror,Flaska,Vin,Rött vin,,Australien,Rött vin,[],South Eastern Australia,,Glasflaska,139.0,19 Crimes,13955362,19 Crimes,The Uprising,7015701,70157,0,1.4,0,0,0,0,0,[],2019,750,750 ml,19 Crimes 19 Crimes The Uprising
12.0,Ordervaror,Flaska,Vin,Mousserande vin,,Australien,Mousserande vin,[],,,Glasflaska,129.0,19 Crimes,30641632,19 Crimes,Sparkling White,5888701,58887,0,0.0,0,0,0,0,0,[],,750,750 ml,19 Crimes 19 Crimes Sparkling White
13.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Australien,"Rött vin, Fruktigt & Smakrikt",[],South Eastern Australia,,Glasflaska,99.0,19 Crimes,2848041,19 Crimes,Red Wine,7396801,73968,0,1.3,9,8,9,8,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]",2021,750,750 ml,19 Crimes 19 Crimes Red Wine
14.0,Fast sortiment,Lättare glasflaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",[],Venetien,Valpolicella,Lättare glasflaska,129.0,Luigi Righetti,740764,1909 Righetti,Ripasso,7630801,76308,0,0.4,9,8,9,8,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]",2021,750,750 ml,Luigi Righetti 1909 Righetti Ripasso
15.0,Ordervaror,Flaska,Vin,Rött vin,Sött,Italien,"Rött vin, Sött",[],Piemonte,Malvasia di Casorzo,Glasflaska,234.0,Cantina Sociale di Casorzo,612965,286 Malvasia di Casorzo,Passito,7597202,75972,0,0.0,0,0,0,0,0,[],2012,375,375 ml,Cantina Sociale di Casorzo 286 Malvasia di Casorzo Passito
14.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,"['Syrah', 'Monastrell']",Murcia,Jumilla,Glasflaska,119.0,Bodega Madrid Romero,45542849,3 Calas,,7701101,77011,0,0.0,0,0,0,0,0,[],2021,750,750 ml,
12.5,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,['Sauvignon blanc'],Murcia,,Glasflaska,129.0,Bodega Madrid Romero,45542839,3 Calas Vitt,,7088101,70881,0,0.0,0,0,0,0,0,[],2023,750,750 ml,
13.0,Ordervaror,Lättare glasflaska,Vin,Vitt vin,Friskt & Fruktigt,Sydafrika,"Vitt vin, Friskt & Fruktigt",['Chenin blanc'],Western Cape,Coastal Region,Lättare glasflaska,89.0,Arcus WineBrands Sweden AB,24663898,3 Generations of Peace,Organic Chenin Blanc,265401,2654,0,0.4,4,1,10,0,1,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 10}]",2021,750,750 ml,Arcus WineBrands Sweden AB 3 Generations of Peace Organic Chenin Blanc
13.5,Ordervaror,Flaska,Vin,Rött vin,,Frankrike,Rött vin,"['Syrah', 'Grenache', 'Mourvèdre', 'Carignan', 'Cinsault']",Languedoc-Roussillon,Terrasses du Larzac,Glasflaska,229.0,Domaine de Familongue,24446083,3 Naissances,,7226201,72262,6,0.0,0,0,0,0,0,[],2018,750,750 ml,
11.5,Ordervaror,Flaska,Vin,Mousserande vin,,Spanien,Mousserande vin,"['Macabeo', 'Xarel-lo', 'Parellada']",Cava,,Glasflaska,159.0,Bodegas Aessir,45332874,3 de 8,Bodegas Aessir,7328301,73283,0,0.0,0,0,0,0,0,[],,750,750 ml,Bodegas Aessir 3 de 8 Bodegas Aessir
14.0,Ordervaror,Flaska,Vin,Rött vin,,Frankrike,Rött vin,[],Bordeaux,Saint-Emilion,Glasflaska,349.0,Thunevin,16803869,3 de Valandraud,,7593901,75939,0,0.0,0,0,0,0,0,[],2018,750,750 ml,
14.0,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,[],Madrid,Vinos de Madrid,Glasflaska,201.0,Bodega Marañones,39237148,30.000 Maravedíes,,5199101,51991,0,0.0,0,0,0,0,0,[],2020,750,750 ml,
14.0,Ordervaror,Flaska,Vin,Vitt vin,,Grekland,Vitt vin,['Assyrtiko'],Kykladerna,Santorini,Glasflaska,439.0,Artemis Karamolegos Winery,16003790,34 Centuries Assyrtiko,,7145401,71454,2,0.0,0,0,0,0,0,[],2021,750,750 ml,
13.0,Ordervaror,Flaska,Vin,Vitt vin,,Italien,Vitt vin,"['Chardonnay', 'Pinot bianco', 'Sauvignon blanc']",Trentino-Alto Adige,Alto Adige,Glasflaska,181.0,Cantina Girlan,38631751,448 Bianco,Girlan,5667701,56677,3,0.0,0,0,0,0,0,[],2022,750,750 ml,Cantina Girlan 448 Bianco Girlan
14.5,Ordervaror,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Spanien,"Rött vin, Kryddigt & Mustigt","['Merlot', 'Cabernet sauvignon', 'Garnatxa', 'Syrah', 'Samsó']",Katalonien,Empordà,Glasflaska,149.0,Castillo de Perelada,24538585,5 Finques,Reserva,7367201,73672,0,0.0,9,8,9,9,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]",2018,750,750 ml,Castillo de Perelada 5 Finques Reserva
12.0,Ordervaror,Flaska,Vin,Vitt vin,,Tyskland,Vitt vin,['Riesling'],Pfalz,,Glasflaska,199.0,Weinbau der Lebenshilfe e.V.,24458853,5 Wingert,Riesling Trocken,7206001,72060,0,0.0,0,0,0,0,0,[],2020,750,750 ml,Weinbau der Lebenshilfe e.V. 5 Wingert Riesling Trocken
12.0,Ordervaror,Flaska,Vin,Vitt vin,,Tyskland,Vitt vin,[],Pfalz,,Glasflaska,136.0,Weinbau der Lebenshilfe e.V.,1190203,5 Wingert,Riesling Trocken,7412401,74124,6,0.0,0,0,0,0,0,[],2015,750,750 ml,Weinbau der Lebenshilfe e.V. 5 Wingert Riesling Trocken
11.5,Ordervaror,Flaska,Vin,Vitt vin,,Tyskland,Vitt vin,[],Pfalz,,Glasflaska,136.0,Weinbau der Lebenshilfe e.V.,1187304,5 Wingert Riesling,halbtrocken,7107601,71076,6,0.0,0,0,0,0,0,[],2015,750,750 ml,Weinbau der Lebenshilfe e.V. 5 Wingert Riesling halbtrocken
11.5,Fast sortiment,Lättare glasflaska,Vin,Vitt vin,Friskt & Fruktigt,Tyskland,"Vitt vin, Friskt & Fruktigt",['Riesling'],Rheingau,,Lättare glasflaska,99.0,G H von Mumm,395744,50°,Riesling Trocken,582401,5824,0,0.6,4,1,10,0,1,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 10}]",2022,750,750 ml,G H von Mumm 50° Riesling Trocken
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Italien,"Mousserande vin, Vitt Torrt",['Corvina'],,,Glasflaska,171.0,AZ. AGR. ACCORDINI STEFANO,28073208,555,Spumante Extra Dry Bianco,5788301,57883,0,0.0,0,0,0,0,0,[],,750,750 ml,AZ. AGR. ACCORDINI STEFANO 555 Spumante Extra Dry Bianco
13.0,Ordervaror,Flaska,Vin,Rött vin,,Frankrike,Rött vin,[],,,Glasflaska,170.0,Domaine De Brau,39605493,60 40,Domaine De Brau,5302501,53025,0,0.0,0,0,0,0,0,[],2020,750,750 ml,Domaine De Brau 60 40 Domaine De Brau
14.5,Ordervaror,Flaska,Vin,Rött vin,,Italien,Rött vin,"['Cabernet sauvignon', 'Cabernet franc', 'Merlot']",Venetien,,Glasflaska,600.0,Zýme di Celestino Gaspari,27250819,602020,Zýme,5732701,57327,0,0.0,0,0,0,0,0,[],2019,750,750 ml,Zýme di Celestino Gaspari 602020 Zýme
13.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,[],Rioja,,Glasflaska,149.0,Bodegas Perica,732331,6Cepas6,,7418201,74182,6,0.0,0,0,0,0,0,[],2015,750,750 ml,
15.0,Ordervaror,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,USA,"Rött vin, Fruktigt & Smakrikt",[],Kalifornien,Lodi,Glasflaska,119.0,The Wine Group,24554688,7 Deadly,Red,5015601,50156,0,0.5,7,4,9,6,0,"[{'key': 'TasteClockBody', 'value': 7}, {'key': 'TasteClockRoughness', 'value': 6}, {'key': 'TasteClockFruitacid', 'value': 9}]",2017,750,750 ml,The Wine Group 7 Deadly Red
15.0,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,USA,"Rött vin, Fruktigt & Smakrikt",['Zinfandel'],Kalifornien,Lodi,Glasflaska,119.0,The Wine Group,299029,7 Deadly Zins,,669001,6690,0,0.4,9,8,9,7,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 9}]",2019,750,750 ml,
12.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,"['Listán Negro', 'Tintilla']",Kanarieöarna,Valle de la Orotava,Glasflaska,171.0,Suertes del Marqués,13430281,7 Fuentes,,276301,2763,0,0.0,0,0,0,0,0,[],2019,750,750 ml,
11.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Italien,"Mousserande vin, Vitt Torrt",['Glera'],Venetien,Prosecco,Glasflaska,127.0,8 Cento sas,24533067,8 Cento,Prosecco Extra Dry,7834101,78341,2,0.0,0,0,0,0,0,[],,750,750 ml,8 Cento sas 8 Cento Prosecco Extra Dry
13.5,Ordervaror,Flaska,Vin,Rött vin,,Australien,Rött vin,"['Cabernet sauvignon', 'Merlot']",South Eastern Australia,,Glasflaska,159.0,Brokenwood,24589672,8 Rows,Cabernet Sauvignon Merlot,5149001,51490,0,0.0,0,0,0,0,0,[],2019,750,750 ml,Brokenwood 8 Rows Cabernet Sauvignon Merlot
14.0,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,"['Merlot', 'Cabernet sauvignon', 'Manto negro', 'Callet']",Balearerna,Mallorca,Glasflaska,259.0,Atlan y Artisan S.L.,39603335,8 Vents,,5166801,51668,0,0.0,0,0,0,0,0,[],2019,750,750 ml,
13.5,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,[],Kastilien-León,Sierra de Salamanca,Glasflaska,169.0,Vinos La Zorra,23329413,8 Virgenes,La Zorra,7944801,79448,0,0.0,0,0,0,0,0,[],2021,750,750 ml,Vinos La Zorra 8 Virgenes La Zorra
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,"Mousserande vin, Vitt Torrt",['Chardonnay'],,,Glasflaska,259.0,Le Domaine d'Henri,39237984,8.21,Blanc de Blancs Brut Nature,5662601,56626,0,0.0,0,0,0,0,0,[],2020,750,750 ml,Le Domaine d'Henri 8.21 Blanc de Blancs Brut Nature
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,921.0,Champagne A&C TOULLEC,38776846,A & C Toullec,Les Hautes Varennes Premier Cru,5114801,51148,0,0.0,0,0,0,0,0,[],,750,750 ml,Champagne A&C TOULLEC A & C Toullec Les Hautes Varennes Premier Cru
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,641.0,A. Bergère,24670355,A Bergère,Blanc de Blancs Brut Nature,5484501,54845,0,0.4,0,0,0,0,0,[],,750,750 ml,A. Bergère A Bergère Blanc de Blancs Brut Nature
11.5,Fast sortiment,Lättare glasflaska,Vin,Vitt vin,Friskt & Fruktigt,Tyskland,"Vitt vin, Friskt & Fruktigt",['Riesling'],Pfalz,,Lättare glasflaska,159.0,A Christmann,271009,A Christmann,Riesling,588201,5882,0,0.0,5,1,10,0,1,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 10}]",2022,750,750 ml,A Christmann A Christmann Riesling
13.0,Tillfälligt sortiment,Flaska,Vin,Vitt vin,Fylligt & Smakrikt,Spanien,"Vitt vin, Fylligt & Smakrikt",['Albariño'],Galicien,Rías Baixas,Glasflaska,211.0,Bodega Fulcro,37517345,A Pedreira Albariño,Bodegas Fulcro,9310301,93103,0,0.0,6,4,10,0,1,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 6}, {'key': 'TasteClockFruitacid', 'value': 10}]",2022,750,750 ml,Bodega Fulcro A Pedreira Albariño Bodegas Fulcro
14.5,Ordervaror,Flaska,Vin,Rött vin,,Italien,Rött vin,[],Toscana,Costa Toscana,Glasflaska,234.0,Montepeloso,24432278,A Quo,,7929601,79296,0,0.0,0,0,0,0,0,[],2021,750,750 ml,
13.0,Ordervaror,Flaska,Vin,Rött vin,,Italien,Rött vin,['Alicante'],Toscana,,Glasflaska,283.0,Società Agricola Francesca s.a.s. di Loia Franca & C,44037409,A Romeo,Alicante,7660301,76603,0,0.0,0,0,0,0,0,[],2021,750,750 ml,Società Agricola Francesca s.a.s. di Loia Franca & C A Romeo Alicante
12.5,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,"['Pinot noir', 'Chardonnay']",Champagne,,Glasflaska,590.0,Champagne A&C TOULLEC,37675534,A&C Toullec,Assemblage Brut,5496101,54961,0,0.3,0,0,0,0,0,[],,750,750 ml,Champagne A&C TOULLEC A&C Toullec Assemblage Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Pinot noir'],Champagne,,Glasflaska,636.0,Champagne A&C TOULLEC,38618980,A&C Toullec,Blanc de Noir,5879001,58790,0,0.3,0,0,0,0,0,[],,750,750 ml,Champagne A&C TOULLEC A&C Toullec Blanc de Noir
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Rosé,Frankrike,Roséchampagne,"['Chardonnay', 'Pinot noir']",Champagne,,Glasflaska,592.0,A. Bergère,25748259,A. Bergère,Rosé Brut,5680901,56809,0,0.8,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Rosé Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Pinot meunier'],Champagne,,Glasflaska,891.0,A. Bergère,25758644,A. Bergère,Les Clos Extra Brut,5689601,56896,0,0.4,0,0,0,0,0,[],2018,750,750 ml,A. Bergère A. Bergère Les Clos Extra Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,1122.0,A. Bergère,25882605,A. Bergère,Les Peignottes Grand Cru Extra Brut,5689801,56898,0,0.4,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Les Peignottes Grand Cru Extra Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,972.0,A. Bergère,25882607,A. Bergère,Les Vignes de Nuit Extra Brut,5690201,56902,0,0.4,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Les Vignes de Nuit Extra Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,"['Chardonnay', 'Pinot noir', 'Pinot meunier']",Champagne,,Glasflaska,550.0,A. Bergère,24669317,A. Bergère,Champagne Origine Brut,5480801,54808,0,0.8,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Champagne Origine Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,"['Chardonnay', 'Pinot meunier', 'Pinot noir']",Champagne,,Glasflaska,801.0,A. Bergère,24670256,A. Bergère,Millesime Extra Brut,5484801,54848,0,0.5,0,0,0,0,0,[],2013,750,750 ml,A. Bergère A. Bergère Millesime Extra Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,592.0,A. Bergère,24670257,A. Bergère,Solera Blanc de Blancs Brut,5485401,54854,0,0.6,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Solera Blanc de Blancs Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,1497.0,A. Bergère,37852634,A. Bergère,38-40 Blanc de Blancs Grand Cru,5489101,54891,0,0.4,0,0,0,0,0,[],2013,750,750 ml,A. Bergère A. Bergère 38-40 Blanc de Blancs Grand Cru
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Rosé,Frankrike,Roséchampagne,"['Chardonnay', 'Pinot noir']",Champagne,,Glasflaska,952.0,A. Bergère,37852637,A. Bergère,Rosé de Saigné,5812701,58127,0,0.4,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Rosé de Saigné
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,711.0,A. Bergère,24670279,A. Bergère Champagne,Blanc de Blancs Grand Cru Extra Brut,5484201,54842,0,0.5,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Champagne Blanc de Blancs Grand Cru Extra Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Petit meslier'],Champagne,,Glasflaska,1297.0,A. Bergère,37852981,A. Bergère Champagne,Le Petit Meslier Blanc de Blancs Brut Nature,5323301,53233,0,0.4,0,0,0,0,0,[],,750,750 ml,A. Bergère A. Bergère Champagne Le Petit Meslier Blanc de Blancs Brut Nature
12.5,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,572.0,Champagne A. Boatas,24672850,A. Boatas,Cuvée Paradis Blanc de Blancs Grand Cru Brut,5494601,54946,0,0.0,0,0,0,0,0,[],2016,750,750 ml,Champagne A. Boatas A. Boatas Cuvée Paradis Blanc de Blancs Grand Cru Brut
12.5,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,[],Champagne,,Glasflaska,575.0,Champagne A. Boatas,34676499,A. Boatas,Blanc de Blancs Grand Cru Brut,5259001,52590,0,0.3,0,0,0,0,0,[],2013,750,750 ml,Champagne A. Boatas A. Boatas Blanc de Blancs Grand Cru Brut
12.5,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,[],Champagne,,Glasflaska,635.0,Champagne A. Boatas,28174166,A. Boatas Charles,Legendre Blanc de Blancs Grand Cru Brut,5795901,57959,0,0.3,0,0,0,0,0,[],2013,750,750 ml,Champagne A. Boatas A. Boatas Charles Legendre Blanc de Blancs Grand Cru Brut
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,['Chardonnay'],Champagne,,Glasflaska,779.0,Champagne A. Margaine,24428189,A. Margaine,Special Club,7787501,77875,2,0.0,0,0,0,0,0,[],2015,750,750 ml,Champagne A. Margaine A. Margaine Special Club
12.0,Ordervaror,Flaska,Vin,Mousserande vin,Torrt vitt,Frankrike,Torr champagne,"['Chardonnay', 'Pinot noir']",Champagne,,Glasflaska,459.0,Champagne A. Margaine,24441317,A. Margaine,Le Brut,7732301,77323,2,0.0,0,0,0,0,0,[],,750,750 ml,Champagne A. Margaine A. Margaine Le Brut
